sp_code	stand_id	plot	no	age	d	h	Bst	Bbr	Bf	Bcr	wd	Vst	Vst.5	ba	befa.v	befa.st	beft.v	beft.st	bwd	species	PFT	Genus	Family
CJa	1027	2	2	29	0.079	5.1	10.715	3.583	1.653	NA	0.715	0.015647	0.007767	0.00490166993776347	1019.42864446859	1.4886607559496	NA	NA	0.684795807503036	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1027	2	3	34	0.085	6.1	15.268	5.026	2.406	6.588	0.9065	0.017868	0.009566	0.00567450173054657	1270.42758003134	1.48676971443542	1639.13140810387	1.91826041393765	0.854488471009626	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1027	2	4	39	0.11	5.5	18.012	14.412	5.021	NA	0.5914	0.031454	0.015392	0.00950331777710912	1190.46862084314	2.07889184987786	NA	NA	0.57264576842373	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1027	2	5	45	0.115	6.2	20.735	19.45	3.773	22.096	0.673	0.031605	0.018102	0.0103868907109313	1390.85587723461	2.11999035447311	2089.98576174656	3.18562816493851	0.656067077993988	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1028	3	1	24	0.059	4.2	7.028	3.68	1.473	2.456	0.9165	0.007995	0.003831	0.00273397100678652	1523.57723577236	1.73321001707456	1830.76923076923	2.08266932270916	0.879049405878674	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1028	3	2	33	0.083	4.6	10.994	4.338	1.769	9.069	0.7587	0.01453	0.007766	0.00541060794764502	1176.9442532691	1.55548480989631	1801.10116999312	2.38038930325632	0.756641431520991	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1028	3	3	38	0.099	4.4	16.172	10.229	4.394	NA	0.8393	0.019516	0.00964	0.00769768739945839	1577.93605246977	1.90421716547118	NA	NA	0.828653412584546	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1028	3	4	52	0.112	5.4	21.988	13.251	3.808	18.674	0.7987	0.028088	0.020051	0.00985203456165759	1390.16661919681	1.77583227214844	2055.0056963828	2.62511369838094	0.782825405867274	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1028	3	5	61	0.125	5.8	27.658	18.49	6.045	NA	0.8743	0.032626	0.021539	0.0122718463030851	1599.73640654693	1.88708511099863	NA	NA	0.847728805247349	Camellia_japonica	EBF	Camellia	Theaceae
CL	15	5	3	34	0.081	9.9	16.884	3.326	0.259	6.391	0.569	0.028155	0.023931	0.00515299735005066	727.011188066063	1.21233120113717	954.004617297105	1.59085524757167	0.599680340969632	Carpinus_laxiflora	DBF	Carpinus	Betulaceae
CL	18	2	2	35	0.119	11.1	37.161	35.118	2.08	24.087	0.677	0.05684	0.048016	0.0111220233918713	1308.2160450387	2.00099566750087	1731.98451794511	2.64917521057022	0.653782547501759	Carpinus_laxiflora	DBF	Carpinus	Betulaceae
CL	16	4	2	45	0.134	11.1	52.962	6.053	1.151	13.54	0.66	0.081713	0.074215	0.0141026094219646	736.308788075337	1.13602205354783	902.010695972489	1.39167705147087	0.648146561746601	Carpinus_laxiflora	DBF	Carpinus	Betulaceae
CL	17	3	3	38	0.148	10.8	43.223	18.124	0.594	10.129	0.63	0.072213	0.063065	0.0172033613710577	857.754143990694	1.43305647456215	998.019747136942	1.66739930129792	0.598548737761899	Carpinus_laxiflora	DBF	Carpinus	Betulaceae
CL	17	3	2	56	0.188	13.4	80.529	34.561	1.041	26.761	0.571	0.14352	0.128365	0.0277591126871194	809.16248606466	1.44210160314918	995.624303232999	1.77441666977114	0.561099498327759	Carpinus_laxiflora	DBF	Carpinus	Betulaceae
CL	16	4	1	48	0.18	10.5	83.98	45.201	4.101	NA	0.694	0.123428	0.11127	0.0254469004940773	1079.83601775934	1.58706834960705	NA	NA	0.680396668503095	Carpinus_laxiflora	DBF	Carpinus	Betulaceae
CL	15	5	2	54	0.132	12.78	59.16	24.891	0.716	22.538	0.625	0.09693	0.084537	0.0136847775990371	874.517693180646	1.4328431372549	1107.0360053647	1.81381000676132	0.610337356855463	Carpinus_laxiflora	DBF	Carpinus	Betulaceae
